Variable;Código;Etiqueta
Depreg;1;Guatemala
Depreg;2;El Progreso
Depreg;3;Sacatepéquez
Depreg;4;Chimaltenango
Depreg;5;Escuintla
Depreg;6;Santa Rosa
Depreg;7;Sololá
Depreg;8;Totonicapán
Depreg;9;Quetzaltenango
Depreg;10;Suchitepéquez
Depreg;11;Retalhuleu
Depreg;12;San Marcos
Depreg;13;Huehuetenango
Depreg;14;Quiché
Depreg;15;Baja Verapaz
Depreg;16;Alta Verapaz
Depreg;17;Petén
Depreg;18;Izabal
Depreg;19;Zacapa
Depreg;20;Chiquimula
Depreg;21;Jalapa
Depreg;22;Jutiapa
Mupreg;0101;Guatemala
Mupreg;0102;Santa Catarina Pinula
Mupreg;0103;San José Pinula
Mupreg;0104;San José del Golfo
Mupreg;0105;Palencia
Mupreg;0106;Chinautla
Mupreg;0107;San Pedro Ayampuc
Mupreg;0108;Mixco
Mupreg;0109;San Pedro Sacatepéquez
Mupreg;0110;San Juan Sacatepéquez
Mupreg;0111;San Raymundo
Mupreg;0112;Chuarrancho
Mupreg;0113;Fraijanes
Mupreg;0114;Amatitlán
Mupreg;0115;Villa Nueva
Mupreg;0116;Villa Canales
Mupreg;0117;Petapa
Mupreg;0201;Guastatoya
Mupreg;0202;Morazán
Mupreg;0203;San Agustín Acasaguastlán
Mupreg;0204;San Cristóbal Acasaguastlán
Mupreg;0205;El Jícaro
Mupreg;0206;Sansare
Mupreg;0207;Sanarate
Mupreg;0208;San Antonio la Paz
Mupreg;0301;Antigua Guatemala
Mupreg;0302;Jocotenango
Mupreg;0303;Pastores
Mupreg;0304;Sumpango
Mupreg;0305;Santo Domingo Xenacoj
Mupreg;0306;Santiago Sacatepéquez
Mupreg;0307;San Bartolomé Milpas Altas
Mupreg;0308;San Lucas Sacatepéquez
Mupreg;0309;Santa Lucía Milpas Altas
Mupreg;0310;Magdalena Milpas Altas
Mupreg;0311;Santa María de Jesús
Mupreg;0312;Ciudad Vieja
Mupreg;0313;San Miguel Dueñas
Mupreg;0314;Alotenango
Mupreg;0315;San Antonio Aguas Calientes
Mupreg;0316;Santa Catarina Barahona
Mupreg;0401;Chimaltenango
Mupreg;0402;San José Poaquil
Mupreg;0403;San Martín Jilotepeque
Mupreg;0404;Comalapa
Mupreg;0405;Santa Apolonia
Mupreg;0406;Tecpán Guatemala
Mupreg;0407;Patzún
Mupreg;0408;Pochuta
Mupreg;0409;Patzicía
Mupreg;0410;Santa Cruz Balanyá
Mupreg;0411;Acatenango
Mupreg;0412;Yepocapa
Mupreg;0413;San Andrés Itzapa
Mupreg;0414;Parramos
Mupreg;0415;Zaragoza
Mupreg;0416;El Tejar
Mupreg;0501;Escuintla
Mupreg;0502;Santa Lucía Cotzumalguapa
Mupreg;0503;La Democracia
Mupreg;0504;Siquinalá
Mupreg;0505;Masagua
Mupreg;0506;Tiquisate
Mupreg;0507;La Gomera
Mupreg;0508;Guanagazapa
Mupreg;0509;San José
Mupreg;0510;Iztapa
Mupreg;0511;Palín
Mupreg;0512;San Vicente Pacaya
Mupreg;0513;Nueva Concepción
Mupreg;0601;Cuilapa
Mupreg;0602;Barberena
Mupreg;0603;Santa Rosa de Lima
Mupreg;0604;Casillas
Mupreg;0605;San Rafael las Flores
Mupreg;0606;Oratorio
Mupreg;0607;San Juan Tecuaco
Mupreg;0608;Chiquimulilla
Mupreg;0609;Taxisco
Mupreg;0610;Santa María Ixhuatán
Mupreg;0611;Guazacapán
Mupreg;0612;Santa Cruz Naranjo
Mupreg;0613;Pueblo Nuevo Viñas
Mupreg;0614;Nueva Santa Rosa
Mupreg;0701;Sololá
Mupreg;0702;San José Chacayá
Mupreg;0703;Santa María Visitación
Mupreg;0704;Santa Lucía Utatlán
Mupreg;0705;Nahualá
Mupreg;0706;Santa Catarina Ixtahuacán
Mupreg;0707;Santa Clara la Laguna
Mupreg;0708;Concepción
Mupreg;0709;San Andrés Semetabaj
Mupreg;0710;Panajachel
Mupreg;0711;Santa Catarina Palopó
Mupreg;0712;San Antonio Palopó
Mupreg;0713;San Lucas Tolimán
Mupreg;0714;Santa Cruz la Laguna
Mupreg;0715;San Pablo la Laguna
Mupreg;0716;San Marcos la Laguna
Mupreg;0717;San Juan la Laguna
Mupreg;0718;San Pedro la Laguna
Mupreg;0719;Santiago Atitlán
Mupreg;0801;Totonicapán
Mupreg;0802;San Cristóbal Totonicapán
Mupreg;0803;San Francisco el Alto
Mupreg;0804;San Andrés Xecul
Mupreg;0805;Momostenango
Mupreg;0806;Santa María Chiquimula
Mupreg;0807;Santa Lucía la Reforma
Mupreg;0808;San Bartolo
Mupreg;0901;Quetzaltenango
Mupreg;0902;Salcajá
Mupreg;0903;Olintepeque
Mupreg;0904;San Carlos Sija
Mupreg;0905;Sibilia
Mupreg;0906;Cabricán
Mupreg;0907;Cajolá
Mupreg;0908;San Miguel Siguilá
Mupreg;0909;Ostuncalco
Mupreg;0910;San Mateo
Mupreg;0911;Concepción Chiquirichapa
Mupreg;0912;San Martín Sacatepéquez
Mupreg;0913;Almolonga
Mupreg;0914;Cantel
Mupreg;0915;Huitán
Mupreg;0916;Zunil
Mupreg;0917;Colomba
Mupreg;0918;San Francisco la Unión
Mupreg;0919;El Palmar
Mupreg;0920;Coatepeque
Mupreg;0921;Génova
Mupreg;0922;Flores Costa Cuca
Mupreg;0923;La Esperanza
Mupreg;0924;Palestina de los Altos
Mupreg;1001;Mazatenango
Mupreg;1002;Cuyotenango
Mupreg;1003;San Francisco Zapotitlán
Mupreg;1004;San Bernardino
Mupreg;1005;San José el Idolo
Mupreg;1006;Santo Domingo Suchitepéquez
Mupreg;1007;San Lorenzo
Mupreg;1008;Samayac
Mupreg;1009;San Pablo Jocopilas
Mupreg;1010;San Antonio Suchitepéquez
Mupreg;1011;San Miguel Panán
Mupreg;1012;San Gabriel
Mupreg;1013;Chicacao
Mupreg;1014;Patulul
Mupreg;1015;Santa Bárbara
Mupreg;1016;San Juan Bautista
Mupreg;1017;Santo Tomás la Unión
Mupreg;1018;Zunilito
Mupreg;1019;Pueblo Nuevo
Mupreg;1020;Río Bravo
Mupreg;1101;Retalhuleu
Mupreg;1102;San Sebastián
Mupreg;1103;Santa Cruz Muluá
Mupreg;1104;San Martín Zapotitlán
Mupreg;1105;San Felipe
Mupreg;1106;San Andrés Villa Seca
Mupreg;1107;Champerico
Mupreg;1108;Nuevo San Carlos
Mupreg;1109;El Asintal
Mupreg;1201;San Marcos
Mupreg;1202;San Pedro Sacatepéquez
Mupreg;1203;San Antonio Sacatepéquez
Mupreg;1204;Comitancillo
Mupreg;1205;San Miguel Ixtahuacán
Mupreg;1206;Concepción Tutuapa
Mupreg;1207;Tacaná
Mupreg;1208;Sibinal
Mupreg;1209;Tajumulco
Mupreg;1210;Tejutla
Mupreg;1211;San Rafael Pié de la Cuesta
Mupreg;1212;Nuevo Progreso
Mupreg;1213;El Tumbador
Mupreg;1214;El Rodeo
Mupreg;1215;Malacatán
Mupreg;1216;Catarina
Mupreg;1217;Ayutla
Mupreg;1218;Ocós
Mupreg;1219;San Pablo
Mupreg;1220;El Quetzal
Mupreg;1221;La Reforma
Mupreg;1222;Pajapita
Mupreg;1223;Ixchiguán
Mupreg;1224;San José Ojetenán
Mupreg;1225;San Cristóbal Cucho
Mupreg;1226;Sipacapa
Mupreg;1227;Esquipulas Palo Gordo
Mupreg;1228;Río Blanco
Mupreg;1229;San Lorenzo
Mupreg;1301;Huehuetenango
Mupreg;1302;Chiantla
Mupreg;1303;Malacatancito
Mupreg;1304;Cuilco
Mupreg;1305;Nentón
Mupreg;1306;San Pedro Necta
Mupreg;1307;Jacaltenango
Mupreg;1308;Soloma
Mupreg;1309;Ixtahuacán
Mupreg;1310;Santa Bárbara
Mupreg;1311;La Libertad
Mupreg;1312;La Democracia
Mupreg;1313;San Miguel Acatán
Mupreg;1314;San Rafael la Independencia
Mupreg;1315;Todos Santos Cuchumatán
Mupreg;1316;San Juan Atitán
Mupreg;1317;Santa Eulalia
Mupreg;1318;San Mateo Ixtatán
Mupreg;1319;Colotenango
Mupreg;1320;San Sebastián Huehuetenango
Mupreg;1321;Tectitán
Mupreg;1322;Concepción Huista
Mupreg;1323;San Juan Ixcoy
Mupreg;1324;San Antonio Huista
Mupreg;1325;San Sebastián Coatán
Mupreg;1326;Barillas
Mupreg;1327;Aguacatán
Mupreg;1328;San Rafael Petzal
Mupreg;1329;San Gaspar Ixchil
Mupreg;1330;Santiago Chimaltenango
Mupreg;1331;Santa Ana Huista
Mupreg;1332;Unión Cantinil
Mupreg;1401;Santa Cruz del Quiché
Mupreg;1402;Chiché
Mupreg;1403;Chinique
Mupreg;1404;Zacualpa
Mupreg;1405;Chajul
